#timestamp package-00 dram0 
1162.451155110 0 0 
1162.500106581 690062 83767 
1162.600145401 1158200 109395 
1162.700155859 995359 68345 
1162.800143742 988279 44156 
1162.900147960 1000119 78489 
1163.000150051 992796 62654 
1163.100157912 942502 93620 
1163.200143479 894529 71237 
1163.300131844 1150388 60772 
1163.400124282 1129086 129667 
1163.500159987 1204587 132101 
1163.600155965 953306 65912 
1163.700142764 1044614 100720 
1163.800146040 1130185 165622 
1163.900149571 974729 61552 
1164.000150605 851926 59533 
1164.100145130 1127805 87577 
1164.200141535 1039914 137470 
1164.300160492 1011411 85466 
1164.400161597 791685 46543 
1164.500151916 1189633 74679 
1164.600130601 873533 125139 
1164.700161027 1524655 201026 
1164.800128702 1174923 197783 
1164.900125152 1223752 127786 
1165.000150548 997861 64627 
1165.100138079 985166 54591 
1165.200160695 997984 101071 
1165.300146780 985227 40255 
1165.400126228 987912 68253 
1165.500160189 928648 68345 
1165.600164836 690733 47614 
1165.700150321 1531002 177357 
1165.800127973 1376034 252986 
1165.900143849 1210934 132834 
1166.000163249 1009275 89322 
1166.100149268 922544 18681 
1166.200149622 1044431 61231 
1166.300151865 1001218 65912 
1166.400159423 788389 19921 
1166.500161311 1112119 97354 
1166.600153288 1070432 63663 
1166.700158642 1109921 156427 
1166.800122222 1312985 297249 
1166.900124396 1292477 197920 
1167.000146290 989866 58615 
1167.100147701 1038266 99006 
1167.200161160 855528 66723 
1167.300163674 1066037 62516 
1167.400124212 1055539 71206 
