#timestamp package-00 dram0 
14537.323221710 0 0 
14537.330103257 234863 57146 
14537.340070193 310241 80646 
14537.350102081 330809 80692 
14537.360068276 325744 81381 
14537.370099960 340331 81380 
14537.380089265 342285 80937 
14537.390101197 363219 80922 
14537.400089466 367065 80968 
14537.410100945 380064 81426 
14537.420117581 371154 81473 
14537.430101595 391113 80692 
14537.440108962 392333 80555 
14537.450100984 392516 80279 
14537.460110229 389342 80875 
14537.470100782 383178 80784 
14537.480099440 392149 81152 
14537.490099776 386352 81289 
14537.500109762 346923 72736 
14537.510099259 426268 88770 
14537.520101477 385192 81305 
14537.530098681 355712 72246 
14537.540115921 385741 80417 
14537.550101376 385498 81289 
14537.560101311 387267 80371 
14537.570099286 385008 80967 
14537.580110606 392333 79912 
14537.590100044 385864 80555 
14537.600101170 393675 79866 
14537.610110589 393249 80462 
14537.620112425 389037 80830 
14537.630101770 389525 80325 
14537.640100310 388854 80325 
14537.650100118 385864 80387 
14537.660101208 390624 80692 
14537.670100930 389464 80600 
14537.680101050 387328 81014 
14537.690059177 398986 81411 
14537.700101385 396788 81427 
14537.710102903 391113 81013 
14537.720115240 389586 81105 
14537.730098868 400939 81978 
14537.740099708 387084 81059 
14537.750101442 384337 81243 
14537.760108199 389404 81105 
14537.770100386 386046 80784 
14537.780101343 353332 72293 
14537.790103127 386290 80738 
14537.800105146 391967 81151 
14537.810099349 387084 81289 
14537.820073046 389830 81427 
14537.830100117 389648 81059 
14537.840069045 390563 81197 
14537.850103586 390380 81335 
14537.860099550 390319 80509 
14537.870099141 400084 80447 
14537.880099126 388671 81014 
14537.890098834 389403 80416 
14537.900100464 378295 80922 
14537.910110610 386474 80738 
14537.920100645 400817 80738 
14537.930102394 388304 80080 
14537.940101215 390197 80325 
14537.950113724 390441 81289 
14537.960099167 388671 81014 
14537.970114520 382750 81243 
14537.980101463 387511 81319 
14537.990102567 385986 80830 
14538.000100213 388427 80509 
14538.010099923 390929 80922 
14538.020112892 349303 72889 
14538.030101673 383178 81289 
14538.040126577 390990 80416 
14538.050105229 387694 80922 
14538.060124954 388366 81381 
14538.070157921 307677 63158 
14538.080140854 396240 82207 
14538.090099516 409178 79193 
