#timestamp package-00 dram0 
8973.033702809 0 0 
8973.100081873 2610589 553447 
8973.200054557 4341419 823155 
8973.300105036 4129079 813195 
8973.400051979 3907766 803112 
8973.500052497 3910085 810824 
8973.600100971 3924429 813562 
8973.700134044 4007802 809553 
8973.800059944 4130421 808437 
8973.900084141 4122670 815521 
8974.000104158 4150197 816239 
8974.100114493 3948965 812430 
8974.200103239 3882741 809263 
8974.300104395 3880178 806387 
8974.400102469 3849234 796992 
8974.500113654 3883413 817357 
8974.600103623 3886647 816347 
8974.700104601 3836355 811007 
8974.800103544 3908926 816102 
8974.900108280 3998525 818244 
8975.000111752 3959462 813868 
8975.100112909 3937918 817203 
8975.200113389 3990102 815536 
8975.300111191 3972707 802761 
8975.400101408 4018788 814036 
8975.500113880 3921255 804382 
8975.600104137 3952565 809676 
8975.700103591 3935537 807856 
8975.800108154 3848257 800725 
8975.900103655 3882680 809814 
8976.000104384 3889456 811114 
8976.100126004 3839284 796396 
8976.200107803 3965811 806906 
8976.300103175 3914418 806662 
8976.400103466 3847769 797237 
8976.500102550 3878652 804520 
8976.600105224 3831411 805132 
8976.700103468 3872244 797834 
8976.800103282 3875173 803755 
8976.900102393 3837392 801414 
8977.000101933 3938345 806050 
8977.100103407 3872060 807335 
8977.200104902 3841543 799593 
8977.300102782 3860830 804306 
8977.400103308 3872365 808804 
8977.500103929 3865591 809997 
8977.600104538 3830252 800925 
8977.700104324 3862905 805545 
8977.800102494 3842763 802224 
8977.900104437 3875601 811589 
8978.000104640 3925161 809615 
8978.100104959 3859365 802209 
8978.200110996 4055714 816623 
8978.300110443 4172353 803556 
8978.400111322 4234975 811619 
8978.500069635 4080495 820156 
