#timestamp package-00 dram0 
2035.769794471 0 0 
2035.800105513 1314022 219264 
2035.900103571 4563648 720569 
2036.000109982 4531422 727744 
2036.100107957 4480152 727928 
2036.200100471 4475941 727378 
2036.300111620 4438343 715550 
2036.400107748 4461170 722145 
2036.500131368 4461475 724990 
2036.600113071 4420949 716545 
2036.700105285 4455310 726352 
2036.800103040 4468617 723935 
2036.900111549 4439503 717830 
2037.000108916 4492725 725740 
2037.100113722 4442188 716239 
2037.200112781 4465687 725129 
2037.300107768 4457447 725816 
2037.400076118 4430958 719131 
2037.500114883 4493824 728341 
2037.600112831 4443959 723767 
2037.700109153 4414173 717049 
2037.800108243 4456959 726077 
2037.900104278 4470386 725526 
2038.000103191 4427540 720248 
2038.100101532 4490101 726918 
2038.200107241 4453358 727056 
2038.300113136 4404224 720171 
2038.400112999 4444691 724164 
2038.500116446 4495655 721365 
2038.600101907 4466724 716040 
2038.700103610 4475453 727606 
2038.800108320 4471851 725985 
2038.900103804 4416310 718075 
2039.000111385 4474781 727439 
2039.100103043 4484424 725786 
2039.200111717 4411915 716774 
2039.300111772 4472218 726827 
2039.400111714 4466297 723292 
2039.500099217 4436085 715719 
2039.600103431 4462574 723093 
2039.700113286 4453785 726016 
2039.800103572 4426258 717554 
2039.900109010 4470814 726001 
2040.000103394 4436084 719803 
2040.100112575 4466298 726093 
2040.200101611 4492786 730467 
2040.300103049 4430348 722329 
2040.400128416 4446155 728020 
2040.500102049 4481373 724883 
2040.600102114 4449879 718289 
2040.700100975 4461231 723690 
2040.800113675 4453052 722619 
2040.900103753 4449391 715780 
2041.000112354 4486133 721502 
2041.100108481 4489674 724562 
2041.200112195 4428089 716989 
2041.300104019 4473622 724730 
2041.400103289 4464100 722466 
2041.500110358 4430408 715260 
