#timestamp package-00 dram0 
4770.091479527 0 0 
4770.100013901 352904 59119 
4770.200121613 4559681 726276 
4770.300112206 4414234 714403 
4770.400111717 4470143 719299 
4770.500108041 4462513 717708 
4770.600105803 4427296 712566 
4770.700109893 4594531 720432 
4770.800005691 4859546 719222 
4770.900005423 4820239 718519 
4771.000115410 4827075 722511 
4771.100062953 4492176 716668 
4771.200052777 4457691 718029 
4771.300062905 4463063 719895 
4771.400063395 4422779 706814 
4771.500063641 4472401 720064 
4771.600050387 4458850 713852 
4771.700103379 4417531 710548 
4771.800056447 4459217 718702 
4771.900052223 4480030 721869 
4772.000101295 4425281 713332 
4772.100100125 4465443 716117 
4772.200101869 4468556 709858 
4772.300099841 4471241 717417 
4772.400064580 4460132 716224 
4772.500104794 4417958 708329 
4772.600051211 4475757 715948 
4772.700068055 4441700 717325 
4772.800099316 4433277 715918 
4772.900100938 4525135 721716 
4773.000063429 4464711 722986 
4773.100061054 4414966 712506 
4773.200101464 4459401 719727 
4773.300134911 4451465 718703 
4773.400110857 4471791 713806 
4773.500052157 4487537 718564 
4773.600050788 4457325 720110 
4773.700052085 4408253 711496 
4773.800064243 4459095 717799 
4773.900051061 4464344 719055 
4774.000055684 4467701 718411 
4774.100052105 4463489 716912 
4774.200066986 4433155 715551 
4774.300070806 4448842 722649 
4774.400063758 4453113 722543 
4774.500051789 4422169 715030 
4774.600050493 4473805 722099 
4774.700061240 4453052 711450 
4774.800062275 4423146 723185 
4774.900099586 4509632 725159 
4775.000101089 4417225 720522 
4775.100110835 4468921 727133 
4775.200057194 4763538 729259 
4775.300067454 4855883 720248 
4775.400058306 4844409 717707 
