#timestamp package-00 dram0 
14867.131600333 0 0 
14867.140074156 288879 75383 
14867.150101877 326537 81962 
14867.160071632 325500 82024 
14867.170098513 337706 81962 
14867.180069120 344421 82253 
14867.190101825 360778 83553 
14867.200072983 363402 82299 
14867.210101423 373595 82084 
14867.220141689 374145 82421 
14867.230101431 399474 81916 
14867.240120105 269592 65867 
14867.250099757 367552 61644 
14867.260109811 389526 82650 
14867.270100352 379699 83033 
14867.280101495 377806 82115 
14867.290098575 378112 83095 
14867.300105171 382934 81289 
14867.310100457 386046 80600 
14867.320110409 395385 80968 
14867.330100173 396849 80370 
14867.340099904 393859 79912 
14867.350099428 397094 79499 
14867.360100662 390258 80004 
14867.370099639 398070 79988 
14867.380100201 386657 79820 
14867.390098454 388609 80463 
14867.400104362 360473 71604 
14867.410103443 405456 80447 
14867.420102974 405333 80693 
14867.430097365 410277 80325 
14867.440111359 391845 80554 
14867.450098571 387267 80096 
14867.460099024 394164 80371 
14867.470099025 387450 80600 
14867.480113606 390197 80187 
14867.490103745 388549 80784 
14867.500100033 387816 80142 
14867.510101286 389953 78856 
14867.520116046 393004 80508 
14867.530100889 390014 80249 
14867.540098273 389525 79591 
14867.550101130 396606 79911 
14867.560100136 387511 80693 
14867.570101188 388488 79820 
14867.580099594 394225 80371 
14867.590101928 387328 80003 
14867.600100806 387694 80555 
14867.610104096 398376 80049 
14867.620110365 393736 79591 
14867.630101528 392211 79315 
14867.640103339 394775 80188 
14867.650101988 387755 79361 
14867.660106122 391357 79728 
14867.670102307 395689 79453 
14867.680101966 389831 79820 
14867.690099458 349364 71420 
14867.700109241 406249 79775 
14867.710100494 386108 80279 
14867.720099594 390196 79820 
14867.730098816 397521 79759 
14867.740107034 389465 79957 
14867.750100835 388671 80004 
14867.760100310 395629 80142 
14867.770098830 389586 80325 
14867.780106858 390075 79866 
14867.790098626 393431 80187 
14867.800106317 391296 79636 
14867.810099387 390563 80325 
14867.820106682 392455 80417 
14867.830099406 391234 80233 
14867.840099589 391112 80279 
14867.850102929 392944 80647 
14867.860106468 395628 80371 
14867.870099464 387939 80600 
14867.880098663 390075 80600 
14867.890100426 387450 79453 
14867.900112963 352660 80325 
14867.910111984 435729 80371 
14867.920100163 389830 80096 
14867.930101139 388366 80187 
14867.940109796 398803 80738 
14867.950100450 353576 71650 
14867.960101748 385314 80203 
14867.970100910 395445 79866 
14867.980105151 393920 80371 
14867.990100025 390868 80462 
14868.000100480 392699 80096 
14868.010100860 388488 79820 
14868.020112419 398925 80325 
14868.030101326 390868 79866 
14868.040104480 390990 80187 
14868.050103739 395507 79958 
14868.060110903 390258 79958 
14868.070100905 389708 80003 
14868.080100861 390685 79958 
14868.090103337 388732 79545 
14868.100104469 391906 79453 
14868.110098510 395873 79789 
14868.120098692 387817 79775 
14868.130104935 391478 80370 
14868.140099309 394774 80142 
14868.150098786 394103 80554 
14868.160098600 394470 80279 
14868.170057759 397337 79974 
14868.180102257 395873 80738 
14868.190105450 395629 79804 
14868.200101331 398071 80601 
14868.210103027 397582 80187 
14868.220100864 352660 72247 
14868.230105386 437438 80799 
14868.240118599 357970 80417 
14868.250105500 394225 80600 
14868.260099448 395385 80417 
14868.270099380 388854 80279 
14868.280105583 392333 80371 
14868.290098390 393187 80004 
14868.300098353 389831 80233 
14868.310099240 394835 80646 
14868.320101819 391173 79989 
14868.330101559 392455 80233 
14868.340102545 391845 80876 
14868.350100618 389831 80508 
14868.360102217 388549 80784 
14868.370107061 394530 80050 
14868.380100341 390929 80141 
14868.390099728 387389 80601 
14868.400052641 404113 80646 
14868.410101700 398680 80463 
14868.420113135 353088 80095 
14868.430101352 423400 79728 
14868.440103437 366942 72109 
14868.450104419 379211 80188 
14868.460112920 404967 80233 
14868.470101072 389586 79361 
14868.480101834 382385 80325 
14868.490100871 398802 80233 
14868.500114580 391112 80233 
14868.510101177 392333 79866 
14868.520102434 385742 80234 
14868.530182297 390624 80921 
14868.540011313 647032 95197 
14868.550106442 534544 85833 
14868.560007067 539489 86491 
14868.570099145 494993 83874 
14868.580070784 438110 81519 
14868.590105474 439696 80967 
14868.600127649 428954 80693 
14868.610101477 430113 81059 
14868.620124879 432922 81427 
14868.630100119 430052 81564 
14868.640106460 429382 81013 
14868.650100888 426573 80723 
14868.660104545 432738 80738 
14868.670100049 422668 81106 
14868.680101615 409667 73164 
14868.690105338 397704 88817 
14868.700104267 410338 80141 
14868.710101228 402037 80922 
14868.720100786 355224 72017 
14868.730098314 431701 81105 
14868.740100908 348388 81243 
14868.750099998 396788 81014 
14868.760107428 392150 80921 
14868.770100345 388976 80738 
14868.780109749 396666 80830 
14868.790099383 396240 80417 
14868.800098757 393004 80738 
14868.810099886 388366 80050 
14868.820101215 390258 80371 
14868.830101756 395812 80065 
14868.840099496 388426 79927 
14868.850106047 392211 80876 
14868.860111903 391784 80049 
14868.870100561 390929 80050 
14868.880099974 389342 80738 
14868.890101820 388854 80371 
14868.900114521 391418 80508 
14868.910101581 391051 80846 
14868.920103226 391723 80049 
14868.930104177 392882 80279 
14868.940107753 392272 80968 
14868.950099155 394225 80968 
14868.960100786 392333 80554 
14868.970101107 389342 79912 
14868.980108333 390807 80233 
14868.990100970 387084 80279 
14869.000099688 390868 80876 
14869.010102961 386840 80968 
14869.020112925 354675 72522 
14869.030098812 393614 80830 
14869.040100968 387267 80646 
14869.050100092 396667 80095 
14869.060099913 395140 80830 
14869.070101268 387206 80417 
14869.080098550 394042 80279 
14869.090101207 386901 80876 
14869.100100363 390258 80554 
14869.110100290 397155 80647 
14869.120099916 387328 81059 
14869.130100913 388488 80463 
14869.140099251 392516 80325 
14869.150100730 393981 81013 
14869.160107752 401915 80509 
14869.170101382 385863 81197 
14869.180098327 391235 80325 
14869.190100470 394530 80325 
14869.200099525 400145 80310 
14869.210099458 393920 80784 
14869.220109697 391357 80784 
14869.230099894 392455 80187 
14869.240099715 387206 81289 
14869.250099526 391478 80050 
14869.260112918 354431 72338 
14869.270099129 424803 88771 
14869.280101351 351196 71971 
14869.290101660 397460 80600 
14869.300103239 392699 80050 
14869.310103381 393126 80554 
14869.320105975 389892 80188 
14869.330104140 405638 80554 
14869.340105585 405395 80876 
14869.350100706 397460 81518 
14869.360106017 392272 80723 
14869.370100364 386901 80371 
14869.380101170 386534 81488 
14869.390099339 377563 92855 
14869.400099630 387206 82896 
14869.410099403 371276 81289 
14869.420098513 385008 82145 
14869.430101436 381286 81549 
14869.440108194 381713 82070 
14869.450100603 386474 86062 
14869.460108300 374022 83997 
14869.470100883 378173 88342 
14869.480081206 392455 87623 
14869.490098775 421691 86660 
14869.500078008 386168 84685 
