#timestamp package-00 dram0 
17763.132709654 0 0 
17763.200081039 2957146 561311 
17763.300107539 4417652 837262 
17763.400106211 4252919 825175 
17763.500111480 4278615 834661 
17763.600108625 4292286 834034 
17763.700103781 4258900 826613 
17763.800108077 4325307 835059 
17763.900112923 4298817 824746 
17764.000110218 4344715 828862 
17764.100113162 4345753 830744 
17764.200100906 4338307 828985 
17764.300102877 4307789 820891 
17764.400108786 4333180 833131 
17764.500112970 4322011 821288 
17764.600111507 4379749 830836 
17764.700109245 4372792 831662 
17764.800103062 4315601 825221 
17764.900105689 4339650 831188 
17765.000109020 4404347 831938 
17765.100108408 4304493 822528 
17765.200110833 4367726 831157 
17765.300112293 4338062 824394 
17765.400111354 4382313 831754 
17765.500103763 4385365 834034 
17765.600112276 4360218 830836 
17765.700104605 4328602 821839 
17765.800103812 4366200 831785 
17765.900103684 4307667 830774 
17766.000106630 4364857 821779 
17766.100110713 4407887 830805 
17766.200113403 4377796 830071 
17766.300109002 4373158 823293 
17766.400110472 4379933 831937 
17766.500106743 4382740 833361 
17766.600116920 4362416 825726 
17766.700111781 5129625 868519 
17766.800103591 4764453 831035 
17766.900103212 4809558 835013 
17767.000117026 4420888 828158 
17767.100112173 4472278 836589 
17767.200106144 4445973 836084 
17767.300103186 4403309 825863 
17767.400103033 4455860 832137 
17767.500109419 4442860 827760 
17767.600107311 4433521 835105 
17767.700128182 4456470 834079 
17767.800110498 4407582 827639 
17767.900130184 4445972 833834 
17768.000103583 4410390 825848 
17768.100103516 4444263 835457 
17768.200153245 4437916 826827 
17768.300105617 4468067 831295 
17768.400110996 4454823 832320 
17768.500105307 4494495 827057 
17768.600120919 4463795 831983 
17768.700106219 4433277 826001 
17768.800111510 4463428 833866 
17768.900118630 4462697 828372 
17769.000110852 4380787 832152 
17769.100113559 4338673 822298 
17769.200102644 4377003 833621 
17769.300106730 4397266 832611 
17769.400124304 4383351 832044 
17769.500103247 4349354 824731 
17769.600111024 4372547 828771 
17769.700109129 4324269 823308 
17769.800107983 4373402 829551 
17769.900105790 4359913 830576 
17770.000110126 4328541 822451 
17770.100102405 4373829 830805 
17770.200111402 4346303 828725 
17770.300105092 4369556 822528 
17770.400113104 4383046 832351 
17770.500111332 4374867 830484 
17770.600117630 4337025 821931 
17770.700111417 4427173 833253 
17770.800108814 4368641 831723 
17770.900106189 4375355 832565 
17771.000108547 4350026 822926 
17771.100112090 4381336 828663 
17771.200104684 4336476 823309 
17771.300103775 4388966 831478 
17771.400103479 4397816 831142 
17771.500114435 4343556 823079 
17771.600119886 4398121 832718 
17771.700109815 4390552 830744 
17771.800110331 4341786 820829 
17771.900104984 4397389 828312 
17772.000103075 4407276 830882 
17772.100110807 4327565 820600 
17772.200107906 4412037 832488 
17772.300109511 4401234 829490 
17772.400109207 4324512 820921 
17772.500104818 4366688 830821 
17772.600089963 4397450 827118 
17772.700108419 4343922 820401 
17772.800105254 4393727 831479 
17772.900105705 4370838 828678 
17773.000106718 4353505 820922 
17773.100109215 4378956 831325 
17773.200103044 4359425 833621 
17773.300105153 4343128 822482 
17773.400123183 4391346 831463 
17773.500103153 4379323 830101 
17773.600110106 4372364 824441 
17773.700104978 4387501 832320 
17773.800112037 4392017 834187 
17773.900103277 4342458 821564 
17774.000107485 4409290 830790 
17774.100113786 4389149 827806 
17774.200113601 4361439 821840 
17774.300101911 4378651 831187 
17774.400102662 4417896 833346 
17774.500113326 4354237 826551 
17774.600112676 4408863 832014 
17774.700109284 4356374 834524 
17774.800103044 4413623 823109 
17774.900106525 4395131 830591 
17775.000112643 4358753 822115 
17775.100111478 4389760 833468 
17775.200110688 4420520 830927 
17775.300112228 4353566 820861 
17775.400112532 4422291 832549 
17775.500110112 4394276 830836 
17775.600112097 4357105 821916 
17775.700103008 4450550 830882 
17775.800103469 4393788 830882 
17775.900105711 4344471 822711 
17776.000108184 4407460 832519 
17776.100104826 4389637 829734 
17776.200106447 4374134 822941 
17776.300114858 4396351 829781 
17776.400109583 4419117 833957 
17776.500103523 4350697 823400 
17776.600119393 4405201 831891 
17776.700104248 4407033 831800 
17776.800109687 4355030 825099 
17776.900104337 4400135 829948 
17777.000101980 4387745 831662 
17777.100113906 4370961 824777 
17777.200109087 4389942 832550 
17777.300108819 4396595 833574 
17777.400112124 4379689 823033 
17777.500114432 4388599 834065 
17777.600112667 4405690 832289 
17777.700109145 4370472 823828 
17777.800108691 4413624 832550 
17777.900103713 4429737 830285 
17778.000112923 4375233 822528 
17778.100108682 4412586 832244 
17778.200102674 4389149 828540 
17778.300102895 4368764 821289 
17778.400112307 4412281 829872 
17778.500108955 4408375 826782 
17778.600110334 4371388 819743 
17778.700110872 4403370 832121 
17778.800104874 4404835 830377 
17778.900103316 4392994 823369 
17779.000102564 4384876 831051 
17779.100112943 4360890 821610 
17779.200114476 4398121 830759 
17779.300102358 4399036 831830 
17779.400103111 4403859 832825 
17779.500112647 4367603 826277 
17779.600112942 4389210 833544 
17779.700114204 4402699 833406 
17779.800102444 4359852 823721 
17779.900113315 4419483 831892 
17780.000110699 4356129 822788 
17780.100110259 4391286 830469 
17780.200100584 4409900 831662 
17780.300104763 4370473 825068 
17780.400112547 4409961 830652 
17780.500113954 4407582 832794 
17780.600109369 4407032 831158 
17780.700110874 4397267 821793 
17780.800105673 4484485 831662 
17780.900114138 4371327 822972 
17781.000108514 4402394 829658 
17781.100108824 4403125 831845 
17781.200103989 4362599 822559 
17781.300114490 4414540 829796 
17781.400110782 4379688 825924 
17781.500114557 4366993 821549 
17781.600102738 4406971 827271 
17781.700008029 5073474 853097 
17781.800118862 4701526 828205 
17781.900103437 4407459 829137 
17782.000105203 4373463 828449 
17782.100111120 4355824 822253 
17782.200108811 4407765 829291 
17782.300103528 4359669 831570 
17782.400112793 4369068 823538 
17782.500113809 4408314 830361 
17782.600109145 4396534 831754 
17782.700111306 4378651 825925 
17782.800102874 4408375 831463 
17782.900102894 4397999 833529 
17783.000110224 4363026 824777 
17783.100109818 4403553 834079 
17783.200103335 4400929 836574 
17783.300112012 4354481 821946 
17783.400113111 4412098 834049 
17783.500109633 4414845 834462 
17783.600111343 4361561 822528 
17783.700101782 4393665 833177 
17783.800114924 4370228 822803 
17783.900109289 4383839 829459 
17784.000103185 4422779 831372 
17784.100112767 4356801 820401 
17784.200111899 4413196 829122 
17784.300103429 4389577 834523 
17784.400111133 4383899 825435 
17784.500109282 4399892 830729 
17784.600114300 4377613 829842 
17784.700113434 4410572 820416 
17784.800103237 4386952 828633 
17784.900104455 4410084 828832 
17785.000112162 4375416 823155 
17785.100113754 4344105 830178 
17785.200102300 4400196 832488 
17785.300109187 4353443 821304 
17785.400111921 4419850 829413 
17785.500112964 4399708 830040 
17785.600109466 4342945 823171 
17785.700109680 4414906 831524 
17785.800105860 4404286 831907 
17785.900105432 4398792 821519 
17786.000102958 4412403 831065 
