#timestamp package-00 dram0 
15235.481532584 0 0 
15235.500084552 908872 146620 
15235.600131504 4788074 761726 
15235.700108404 4881884 754198 
15235.800121397 4693225 753846 
15235.900106471 4680408 744009 
15236.000061838 4684498 751842 
15236.100121399 4661243 752836 
15236.200132116 4599658 744636 
15236.300127033 4639942 752148 
15236.400112182 4593433 743580 
15236.500107631 4628406 750740 
15236.600112289 4640918 753693 
15236.700107555 4636219 751965 
15236.800115202 4591785 744406 
15236.900111786 4631702 754749 
15237.000109842 4592945 748247 
15237.100110321 4636035 751413 
15237.200114763 4626453 748522 
15237.300108759 4727161 754596 
15237.400109020 4609424 744314 
15237.500120573 4664234 753342 
15237.600110676 4636890 752852 
15237.700119755 4595020 744039 
15237.800110777 4655323 752041 
15237.900108700 4649219 745645 
15238.000116886 4634998 755086 
15238.100132135 4681628 753356 
15238.200109535 4596241 746931 
15238.300109217 4638843 752531 
15238.400108972 4647022 754917 
15238.500109363 4572376 748246 
15238.600113049 4638538 755392 
15238.700112053 4625659 757977 
15238.800113349 4586780 748339 
15238.900113327 4637562 753570 
15239.000109155 4624072 755530 
15239.100109287 4643421 748950 
15239.200114278 4635608 754458 
15239.300107980 4575306 748155 
15239.400110064 4638355 758819 
15239.500105352 4620533 754841 
15239.600108623 4638965 750159 
15239.700112483 4591358 745125 
15239.800113705 4627063 752224 
15239.900121560 4681018 752592 
15240.000107025 4598743 744819 
15240.100111696 4687122 750649 
15240.200127056 4646473 748445 
15240.300110317 4626270 742188 
15240.400116780 4621997 751016 
15240.500112856 4626880 749379 
15240.600108773 4590198 740030 
15240.700111782 4651417 748966 
15240.800109673 4677600 748261 
15240.900110101 4641285 739449 
15241.000111475 4629199 744269 
15241.100111197 4644947 748399 
15241.200108461 4569141 740719 
15241.300108625 4660022 754826 
15241.400108679 4586231 745554 
15241.500110299 4668079 756294 
15241.600133631 4641651 752178 
15241.700109131 4587268 744544 
15241.800107133 4630482 752164 
15241.900106703 4662707 752668 
15242.000108725 4582569 742157 
15242.100111849 4626026 748598 
15242.200112267 4636890 751429 
15242.300112762 4556202 745003 
15242.400109070 4680469 753296 
15242.500109635 4621326 759354 
15242.600107467 4585864 748445 
15242.700121702 4652454 754091 
15242.800107406 4636524 757014 
15242.900110418 4600269 748384 
15243.000129218 4632923 757503 
15243.100116370 4643176 755468 
15243.200113550 4578419 749333 
15243.300112463 4640918 752347 
15243.400127344 4636036 755652 
15243.500113695 4581470 748215 
15243.600112119 4643421 755163 
15243.700110264 4625964 753157 
15243.800122296 4591846 744299 
15243.900109546 4694507 754092 
15244.000108567 4639332 752484 
15244.100130779 4577930 745737 
15244.200142173 4648853 755055 
15244.300117814 4653125 753801 
15244.400114873 4597095 745156 
15244.500109256 4630726 752744 
15244.600081719 4587879 747956 
15244.700112998 4627734 753632 
15244.800108543 4624439 754046 
15244.900128642 4664234 753907 
15245.000106626 4597400 745340 
15245.100114945 4653492 752163 
15245.200113940 4589710 744957 
15245.300109559 4622485 753035 
15245.400108521 4636402 752837 
15245.500114695 4582813 742249 
15245.600122936 4642200 753265 
15245.700110213 4667285 757242 
15245.800111707 4657459 756983 
15245.900106771 4590809 746640 
15246.000107389 4643604 755055 
15246.100108326 4633533 753908 
15246.200129303 4596240 743304 
15246.300108725 4640552 754122 
15246.400110368 4650135 752163 
15246.500108495 4587574 744529 
15246.600127367 4632983 754321 
15246.700108601 4624378 750051 
15246.800107872 4599049 741484 
15246.900108551 4687366 750159 
15247.000108768 4635425 751475 
15247.100109327 4558093 746610 
15247.200130462 4679615 753234 
15247.300112307 4572559 745722 
15247.400108751 4636036 753311 
15247.500109553 4671985 755238 
15247.600109442 4588245 753908 
15247.700112316 4680835 745905 
15247.800132766 4652149 754413 
15247.900111088 4632678 753815 
15248.000121366 4591785 745447 
15248.100126578 4632313 755958 
15248.200129631 4653491 753953 
15248.300149306 5548021 776858 
15248.400108430 5024218 758161 
15248.500109572 4584033 746991 
15248.600108217 4634022 755943 
15248.700108492 4640491 755223 
15248.800108788 4591907 748905 
15248.900113642 4646961 751566 
15249.000112879 4624194 751475 
15249.100110891 4607777 741820 
15249.200116242 4610584 749685 
15249.300106094 4644946 749945 
15249.400115505 4580738 742922 
15249.500109315 4648182 752026 
15249.600108861 4637134 755208 
15249.700114018 4596484 747787 
15249.800113485 4622974 751154 
15249.900109809 4689686 750740 
15250.000121652 4574512 744131 
15250.100109309 4649707 750235 
15250.200112358 4627247 752485 
15250.300111431 4585864 741254 
15250.400113620 4621388 751154 
15250.500113670 4578601 744498 
15250.600107642 4640857 752240 
15250.700110601 4644398 750312 
15250.800126288 4648242 751429 
15250.900109233 4571888 742677 
15251.000146680 4629199 749256 
15251.100112753 4612049 743167 
15251.200108512 4626270 753540 
15251.300108832 4627124 747650 
15251.400115525 4629871 746242 
15251.500113744 4607472 740918 
15251.600107182 4637500 745202 
15251.700113630 4592945 744513 
15251.800126307 4636157 751016 
15251.900117399 4640857 751046 
15252.000106316 4633167 751077 
15252.100112400 4609547 745600 
15252.200110379 4650439 750970 
15252.300107551 4592091 744131 
15252.400111509 4643176 751520 
15252.500109154 4631397 755163 
15252.600108168 4589832 743518 
15252.700117835 4641529 751200 
15252.800114379 4668079 751459 
15252.900135045 4655749 743672 
15253.000119029 4654285 749960 
15253.100110354 4645679 756356 
15253.200108444 4576710 745416 
15253.300109842 4649219 753968 
15253.400109875 4631092 749257 
15253.500113134 4587390 742187 
15253.600108611 4639271 748675 
15253.700108884 4639087 747298 
15253.800132522 4597888 743121 
15253.900109236 4586048 744774 
15254.000108368 4637623 742019 
15254.100109405 4626514 748950 
15254.200112778 4643604 751184 
15254.300116421 4618640 752118 
15254.400113673 4586231 740122 
15254.500113680 4629505 749119 
15254.600107609 4642200 751612 
15254.700109946 4590320 739357 
15254.800108944 4637439 747543 
15254.900108618 4669849 749440 
15255.000110228 4607288 743641 
15255.100109560 4621448 751245 
15255.200112814 4596668 742112 
15255.300113555 4620594 749149 
15255.400110735 4626453 750373 
15255.500112784 4631397 747940 
15255.600106858 4599292 742020 
15255.700108880 4644520 750404 
15255.800112114 4645373 751398 
15255.900111240 4638721 743901 
15256.000108637 4656422 747910 
15256.100110018 4633716 747466 
15256.200130135 4607410 742693 
15256.300107615 4647571 752469 
15256.400107092 4637622 754810 
15256.500107965 4596424 742938 
15256.600113298 4652027 751934 
15256.700106429 4648425 752897 
15256.800106879 4601917 745248 
15256.900108672 4644642 749914 
15257.000117986 4568897 743580 
15257.100132054 4657153 751659 
15257.200108622 4639454 752897 
15257.300114933 4613941 745554 
15257.400097096 4630420 756080 
15257.500110216 4628406 751475 
15257.600106423 4640308 753923 
15257.700129637 4565845 748047 
15257.800113734 4703479 751399 
15257.900110346 4660816 756294 
15258.000112373 4609180 745722 
15258.100112646 4641712 752882 
15258.200132798 4595325 749440 
15258.300111477 4648609 758681 
15258.400111573 4636157 754550 
15258.500117636 4580738 748323 
15258.600126339 4669788 759829 
15258.700105412 4689990 756447 
15258.800118696 4702015 748339 
15258.900108727 4771289 759828 
15259.000112356 4698718 761145 
15259.100111435 4667469 752148 
15259.200117443 4771228 761710 
15259.300111749 4720874 750588 
15259.400114791 4848926 752209 
15259.500113107 4820544 753494 
15259.600112094 4637256 745141 
15259.700110123 4669910 755254 
15259.800110461 4681384 758956 
15259.900113127 4607411 751062 
15260.000108396 4630420 759140 
15260.100113230 4600757 747267 
15260.200107901 4652698 757595 
15260.300112504 4648670 758635 
15260.400109217 4587452 753984 
15260.500117345 4629077 756983 
15260.600123525 4620655 758681 
15260.700116289 4596240 746931 
15260.800129441 4633289 759048 
15260.900111104 4671680 755790 
15261.000124121 4614979 748843 
15261.100109049 4730517 759232 
15261.200130443 4645252 752760 
15261.300111990 4593555 751245 
15261.400110511 4641407 756845 
15261.500060507 4651355 755116 
15261.600107992 4629200 745829 
15261.700112964 4652270 752164 
15261.800116743 4650867 754091 
15261.900108398 4631825 746701 
15262.000109096 4637561 755315 
15262.100111985 4636463 756983 
15262.200107007 4592212 749287 
15262.300112961 4643360 756952 
15262.400109606 4602161 757579 
15262.500108724 4642932 748798 
15262.600110964 4640980 760991 
15262.700130764 4597949 753984 
15262.800107339 4645557 761527 
15262.900115190 4643482 758345 
15263.000111438 4668872 755835 
15263.100111055 4572804 746839 
15263.200108450 4637744 754213 
15263.300176979 5656297 780729 
15263.400117419 5285631 764740 
15263.500117639 4798571 755728 
15263.600111608 4816394 761068 
15263.700130310 4770984 752668 
15263.800117722 4821826 767647 
15263.900115722 4812671 758375 
15264.000116499 4765857 749914 
15264.100110196 4827990 760089 
15264.200111281 4788318 751643 
15264.300116483 4815540 763103 
15264.400110639 4779589 757900 
15264.500110183 4755481 750986 
15264.600122932 4808826 759813 
15264.700144640 4801684 751016 
15264.800107721 4740650 762705 
15264.900119230 4852649 754366 
15265.000112847 4801074 763118 
15265.100108006 4808520 758452 
15265.200108701 4757129 751352 
15265.300135559 4846057 764847 
15265.400112417 4690601 757840 
15265.500114075 4611804 748736 
15265.600108413 4636707 755789 
15265.700111935 4597645 747666 
15265.800113730 4647693 758038 
15265.900108361 4656787 760288 
15266.000126153 4592152 748216 
15266.100127029 4643176 757395 
15266.200113532 4657947 758789 
15266.300111816 4587452 749638 
15266.400112048 4643421 754398 
15266.500109261 4625049 761251 
15266.600109226 4638599 756203 
15266.700107953 4591297 745875 
15266.800109625 4647998 753555 
15266.900106812 4597400 749012 
15267.000127297 4635120 754351 
15267.100109153 4639515 752959 
15267.200110883 4596424 749470 
15267.300108516 4630298 754780 
15267.400108842 4657520 759278 
15267.500117953 4579395 749225 
15267.600112582 4639331 756126 
15267.700109148 4628101 755882 
15267.800106946 4611072 749164 
15267.900113012 4703113 753953 
15268.000121534 4628162 752118 
